-12;134;-9;-68;-39;145;-80;-6;-61;-9;243800;229838;222748;219213;222754;0;8622;-1930;-3311;-2394;1
-82;158;-2;-13;-52;171;-44;-31;-23;-75;243800;229456;223065;221309;208940;0;15809;10337;10335;7642;1
-42;161;-1;-35;-75;163;-65;-71;-14;-18;243800;229707;219486;219570;218408;0;11598;4984;3097;-4669;0
4;136;-94;-12;-28;141;-87;-4;-49;-10;243800;229866;222328;220788;223871;0;7864;-8209;-5265;-1396;0
-42;188;-7;-83;-48;162;-87;-60;-10;-9;243800;229644;220032;219591;222192;0;12786;-96;-3074;-1285;0
11;76;-24;-22;-36;140;-66;-58;-22;-9;243800;229944;221048;221096;223641;0;5075;-339;-834;-3328;0
62;58;-69;-10;-34;131;-2;-26;-65;-45;243800;230000;216859;214697;214364;0;-19;-8291;-6301;-5807;0
-22;97;-22;-9;-38;156;-61;-43;-61;-2;243800;229832;219298;217744;223754;0;8793;4544;5147;275;0
63;67;-55;-23;-46;123;-40;-27;-39;-29;243800;230000;220712;219313;218225;0;-172;-9418;-8837;-9964;0
-19;134;-59;-5;-44;160;-58;-70;-33;-6;243800;229800;216520;217106;222299;0;9596;396;1656;-1265;0
-3;182;-61;-56;-53;153;-71;-32;-51;-1;243800;229818;217536;215787;221994;0;9142;-7314;-7299;-6523;0
-44;166;-45;-37;-31;170;-27;-15;-84;-44;243800;229632;216383;212572;213986;0;13011;1296;2569;5801;0
-109;141;-7;-1;-15;192;-61;-26;-96;-9;243800;229232;217902;214469;222551;0;18774;15840;17453;15689;0
12;77;-32;-22;-27;158;19;-86;-44;-50;243800;229942;211481;211266;212674;0;5181;1421;1384;1552;0
-12;100;-8;-40;-32;151;0;-13;-60;-82;243800;229866;219985;216125;207039;0;7855;2093;1787;4280;0
-27;148;-95;-3;-15;159;-41;-39;-20;-62;243800;229714;218976;218934;213508;0;11473;-3303;-189;8008;0
-98;152;-15;-23;-8;186;-79;-56;-43;-12;243800;229283;219002;218243;223622;0;18149;11645;12088;14999;0
-52;135;-9;-3;-63;170;-26;-57;-47;-43;243800;229680;217422;216120;213194;0;12132;9021;9188;1195;0
